Year,University,School,Degree,Overall Employment Rate,Full-Time Employment Rate,Gross Monthly Mean,Gross Monthly Median,Gross Monthly 25th Percentile,Gross Monthly 75th Percentile
2015,Singapore Management University,School of Business (4-year programme) *,Business Management Cum Laude and above,98.3,93.3,4130,3868,3200,4600
2015,Singapore Management University,School of Economics (4-year programme) *,Economics,90.3,85.8,3946,3500,3200,4100
2015,Singapore Management University,School of Economics (4-year programme) *,Economics Cum Laude and above,98.2,92.7,4380,3850,3500,4700
2015,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management,94.8,85.9,3660,3500,3200,4110
2015,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management Cum Laude and above,97.4,92.1,3834,3800,3500,4166
2015,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences,89,83,3550,3200,2980,3600
2015,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences Cum Laude and above,93.1,89.7,4012,3560,3300,4583
2015,Singapore Management University,School of Law (4-year programme) *,Law #,99,99,4997,4731,4350,5800
2015,Singapore Management University,School of Law (4-year programme) *,Law Cum Laude and above #,100,100,5313,5000,4500,5995
2015,Singapore University of Technology and Design,Engineering Product Development,Bachelor of Engineering (Engineering Product Development),89.8,85,3631,3600,3383,3783
2015,Singapore University of Technology and Design,Engineering Systems and Design,Bachelor of Engineering (Engineering Systems and Design),90.7,83.6,3850,3667,3447,4170
2015,Singapore University of Technology and Design,Information Systems Technology and Design,Bachelor of Engineering (Information Systems Technology and Design),92.6,91.9,4120,3991,3479,4767
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,88.5,65.4,2682,2700,2500,2800
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,95.2,90.5,3346,3233,3000,3500
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,76.1,54.3,2922,2750,2523,2975
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,87.5,71.9,2893,2700,2500,3025
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,85.5,72.6,3405,3250,2900,3750
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,83,77.4,3452,3300,3000,3550
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,91.7,91.7,3354,3225,3050,3500
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,90.5,83.3,3266,3200,3000,3500
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,100,100,3266,3141,2900,3500
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,100,94.7,3469,3350,3238,3575
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,89.2,81.1,2876,2700,2475,3050
2015,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,87.5,79.2,2970,2950,2800,3200
2015,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,100,90,3339,3250,3000,3488
2015,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,92.6,81.5,2586,2400,2000,2800
